Diet ,SampleID,Taxon_1,Taxon_2,Taxon_3,Taxon_4,Taxon_5,Taxon_6,Taxon_7,Taxon_8,Taxon_9,Taxon_10,Taxon_11,Taxon_12,Taxon_13,Taxon_14,Taxon_15,Taxon_16,Taxon_17,Taxon_18,Taxon_19,Taxon_20,Taxon_21,Taxon_22,Taxon_23,Taxon_24,Taxon_25,Taxon_26,Taxon_27,Taxon_28,Taxon_29,Taxon_30,Taxon_31,Taxon_32,Taxon_33,Taxon_34,Taxon_35,Taxon_36,Taxon_37,Taxon_38,Taxon_39,Taxon_40,Taxon_41,Taxon_42,Taxon_43,Taxon_44,Taxon_45,Taxon_46,Taxon_47,Taxon_48,Taxon_49,Taxon_50,Taxon_51,Taxon_52,Taxon_53,Taxon_54,Taxon_55,Taxon_56,Taxon_57,Taxon_58,Taxon_59,Taxon_60,Taxon_61,Taxon_62,Taxon_63,Taxon_64,Taxon_65,Taxon_66,Taxon_67,Taxon_68,Taxon_69,Taxon_70,Taxon_71,Taxon_72,Taxon_73,Taxon_74,Taxon_75,Taxon_76,Taxon_77,Taxon_78,Taxon_79,Taxon_80,Taxon_81,Taxon_82,Taxon_83,Taxon_84,Taxon_85,Taxon_86,Taxon_87,Taxon_88,Taxon_89,Taxon_90,Taxon_91,Taxon_92,Taxon_93,Taxon_94,Taxon_95,Taxon_96,Taxon_97,Taxon_98,Taxon_99,Taxon_100,Taxon_101,Taxon_102,Taxon_103,Taxon_104,Taxon_105,Taxon_106,Taxon_107,Taxon_108,Taxon_109,Taxon_110,Taxon_111,Taxon_112,Taxon_113,Taxon_114,Taxon_115,Taxon_116,Taxon_117,Taxon_118,Taxon_119,Taxon_120,Taxon_121,Taxon_122,Taxon_123,Taxon_124,Taxon_125,Taxon_126,Taxon_127,Taxon_128,Taxon_129,Taxon_130,Taxon_131,Taxon_132,Taxon_133,Taxon_134,Taxon_135,Taxon_136,Taxon_137,Taxon_138,Taxon_139,Taxon_140,Taxon_141,Taxon_142,Taxon_143,Taxon_144,Taxon_145,Taxon_146,Taxon_147,Taxon_148,Taxon_149,Taxon_150,Taxon_151,Taxon_152,Taxon_153,Taxon_154,Taxon_155,Taxon_156,Taxon_157,Taxon_158,Taxon_159,Taxon_160,Taxon_161,Taxon_162,Taxon_163,Taxon_164,Taxon_165,Taxon_166,Taxon_167,Taxon_168,Taxon_169,Taxon_170,Taxon_171,Taxon_172,Taxon_173,Taxon_174,Taxon_175,Taxon_176,Taxon_177,Taxon_178,Taxon_179,Taxon_180,Taxon_181,Taxon_182,Taxon_183,Taxon_184,Taxon_185,Taxon_186,Taxon_187,Taxon_188,Taxon_189,Taxon_190,Taxon_191,Taxon_192,Taxon_193,Taxon_194,Taxon_195,Taxon_196,Taxon_197,Taxon_198,Taxon_199,Taxon_200
Vegan,S001,0.004239349,0.003252996,0.001168154,0.00207964,0.008938575,0.003640842,0,0.001474093,0.001103279,0.005928551,0.001300128,0.003292253,0.003594277,0.002121817,0.002117736,0.002213865,0.004388238,0.002386238,0.003945861,0.009573751,0.001168608,0.002934475,0.003772097,0.002026678,0.001866219,0.00439458,0.00656541,0.00111262,0.006124236,0,0.001802729,0.001462735,0.00184371,0.003246802,0.002133085,0.002525182,0.003358754,0.00453162,0.001420904,0.001150159,7.60E-05,0.001102454,0.003668045,0.003437431,0.000842966,0.003124598,0.009184652,0.002805022,0.001928193,0.001944245,1.26E-05,0.003771257,0.0052727,0.000193644,0.007300526,0.004119643,0.001960455,0.002655094,0.00325002,0.00800834,0.002204258,0.002676629,0.001487154,0.003311541,0.015727962,0.008502478,0.002841124,0.00166566,0.000500915,0.004009633,0,0.000663268,0.007573765,0.011487687,0.001943755,0.001823789,0.020566395,0.004811742,0.004343654,0,0.008110102,0.006016096,0.019674118,0.008502105,0.004712185,0.002539786,0.001631605,0.00468122,0.005070974,0.003102965,0.000919302,0.006234291,0.017356066,0.010541915,0.00916095,0.004915758,0.003192585,0.001454111,0.002866424,0.003127706,0.006559425,0.006507361,0.004595845,0.006350932,0.009955928,0.007505392,0.008877553,0.003050546,0.001541549,0.011146878,0.00105092,0.007405619,0.002779722,0.018909643,0.003603563,0.001994493,0.010853916,0.00662199,0.009320631,0.009753677,0.015677541,0.005411504,0.003347504,0.004578999,0.004590895,0.006863392,0.036473873,0.008394537,0.004560347,0.029508253,0.007033345,0.004458131,0.00282853,0.003523019,0.005591217,0.010756941,0.00222965,0.003912955,0.005409841,0.014840874,0.002720862,0.003230575,0.012802056,0.001404795,0.003797943,0.003096845,0.001151746,0.004170716,0.006380972,0.005541714,0.0033382,0.001668433,0.001197935,0.00091981,0.002904682,0.013605486,0.002216862,0.000272023,0.001609584,0.000716597,0.002655451,0.002162001,0.006294903,0.003863371,0.004789681,0.005226378,0.004110693,0,0.009463308,0.002753535,0,0.003939784,0.000482123,0.004398415,0.012296934,0.000475757,0.011250508,0.007514078,0.002714751,0.005003468,0.005018932,0.004959062,0.002214065,0.003285435,0.012487544,0.002272593,0.00860642,0.003669189,0.003008232,0.002220861,0.00545282,0.005028441,0.007309395,0.003568246,0.017142012,0.002183633,0.004986323,0.005903222,0.011638048,0.003715764
Vegan,S002,1.23E-05,0.004875957,0.004551984,0.000792598,0.009186538,0.000654698,0.005061721,0.000974166,0.002052516,0.003649607,0.003633697,0.005757283,0.009842931,0.004328734,0.005703237,0.005443754,0,0.007823471,0.003153304,0.007976541,0.00190299,0.004673882,0.005122845,0.001965031,0.01614807,0.004285869,0.005102646,0.000649796,0.008166815,0.005163535,0.008861464,0.013868038,0.011882365,0.002997198,0.003451612,0.009162713,0.011024603,0.031966852,0.005906153,0.002925352,0.007814398,0.008389871,0.003577177,0.007010227,0.005362059,0.00295897,0.011626725,0.015882409,0.009415856,0.005006617,0.002273625,0.003706109,0.007457202,0.007715594,0.002212589,0.011354108,0.001755719,0.005396419,0.005422768,0.011340729,0.004050459,0.007787984,0.010238563,0.003187178,0.013486563,0.001863809,6.61E-05,0.003484649,0.003968622,0.012732294,0.002978141,0.002193942,0.0040898,0.004090069,0.003547805,0,0.002340949,0.005048096,0.000202982,0.000288239,0.004506315,0.000691573,0.00584768,0,0.001806666,0.000865373,0.002002355,0.002113509,0.000212027,0.003318641,0.001287127,0.000794817,0.002832856,0.008493278,0.001391904,0.003496648,0.00381834,0.002447264,0.000869803,0.001282689,0.009506127,0.004744355,0.00308869,0.00042149,0.013675258,0.003149415,0,0.000638838,0.000346756,0.002646458,3.59E-05,0.002682325,0.000809402,0.013936294,0.004448722,0.016765895,0.002824498,0.0037802,0.000581088,0.006410016,0.004876786,0.002654635,0.003006692,0.002109528,0.004422979,0.003517349,0.00406109,0.00093833,0.003211697,0.006650602,0.001712448,0.00214921,0.001071747,0.001544136,0,0.001839463,0.003624567,0.005232248,0.001755265,0.01466609,0.006221378,0.003577141,0.004987131,0.003888522,0.001348611,0.002810001,0.003807863,0.001972221,0.001470759,0.001669959,0.003667798,0.000448816,0.006927097,0.008765073,0.006544394,0.012627563,0.004397042,0.015705205,0.01622352,0.006068127,0.002635439,0.008054003,0.002692826,0.003865088,0.00991737,0.005140229,0.010293265,2.77E-05,0.023738944,0.007003411,0.007216079,0.003695981,0.003678041,0.017880639,0.00540343,0.000786823,0.004149181,0.002303813,0.002962877,0.003894758,0.0038571,0.008023671,0.004381963,0.005585097,0.003535219,0.003919483,0.003003453,0.001183852,0.007293187,0.008078331,0.008000342,0.000759628,0.00365674,0.000748339,0.009243843,0.004649891,0.001652624,0.002039543,0.009893914,0.002381976
Vegan,S003,0.006106551,0.004983235,0.001292233,0.007725939,0.001591895,0.000479115,0.003323169,0.001577979,0.002192559,0.002827385,0.00449707,0.014623847,0.003009466,0.004169464,0.001520912,0.000803426,0.001758232,0.001993546,0,0.002678484,0.002143387,0.002170291,0.002266873,0.002686022,0.001106541,0.000815928,0.004084311,0,0.003694556,0.001437791,0.00668106,0.005073972,0.005677509,0.00724568,0.005958752,0.040888329,0.005542509,0.008094872,0.004596927,0.001242409,0.001612099,0.006524354,0.006403943,0.003762713,0.005141628,0.01317453,0.003759952,0.010717069,0.00917577,0.014390853,1.38E-05,0.007942141,0.00576712,0.003913023,0.001498396,0.001427521,0.000451725,0.006292799,0.005374711,0.005460726,0.001619574,0.002038875,0.00558603,0.003194146,0.0890386,0.003476546,0.001666215,0.012336114,0.002562388,0.00724833,0.006571226,0.00205786,0.010662335,0.010458405,0,0.008083372,0.009344428,0.01370429,0.001387922,0,0.001597789,0.004524688,0.005332675,0.009482912,0.007343246,0.001890088,0.003302626,0.007265194,0.000673837,0.002154434,0.0010802,0.003051657,0.000601006,0.010939802,0.004518165,0.000689208,0.007155403,0.003045472,0.000283526,0.004035511,0.007628294,0.003930438,0.00324853,0.002836581,0.006282457,0.003955486,0.001530061,0.001494118,4.81E-05,0.007922137,0.003733916,0.001752293,0.004843131,0.003739869,0.004944056,0.004714983,0.001518437,0.010204902,0.004403363,0.007952188,0.002304616,0.002957471,0.00549446,0.003441197,0.0026186,0.007106301,0.003839074,0.003372029,0.000535589,0.003155463,0.003182419,0.003391003,0.003125718,0.00186747,0.008062093,0.000875962,0.000874086,0.00155266,0.004650251,0.002088904,0,0.000527789,0.002096398,0.003604722,0.003553568,0.004042191,0.001786037,0.000231015,0.003526188,0.001946512,0.001036141,0.008738234,0.002247205,0.008849331,0.001345874,0.00417448,0.003137812,0.000375652,0.017022651,0.004084885,0.002013662,0.007799842,0.003256214,0.003994046,0.019219639,0.002601691,0.003015204,0.001883289,0.010773145,0.005639724,0.002905788,0.004801693,0.001030986,0.014657179,0.006679877,0.010934704,0.014249116,0.003494585,0.001617504,0.005730614,0.00343695,0.008582578,0.009790342,0.006530982,0.005713716,0.007240282,0.004062904,0.001216522,0.004345105,0.00298441,0.007234999,0.005473874,0.007311204,0.004879221,0.002231854,0,0.001133303,0.00178314,0.003613603,0.001259919
Vegan,S004,0.002251731,0.004118326,0,0.003263064,0.012762731,0.004543221,0,0.003234839,0.001178299,0.005570937,0.001667181,0.005423711,0.003130023,0.001915451,0.002768931,9.98E-05,0.002249602,0,0.003088002,0.009015389,0.002137163,0.002515374,0.002789922,0.004699867,0.001291945,0.003197807,0.006880237,0.000487215,0.006533032,0.000214263,0.004869267,0.003315013,0.001152864,0,0.005447548,0.002813551,0.004005972,0.003655743,0.00238675,0.002351648,0,0.000658029,0.001411048,0.003148716,0.002248273,0.002659542,0.007538553,0.002774238,0.001665699,0.002439125,0.00074558,0.003677036,0.004545588,0.001942038,0.008402199,0.006486063,0.001303062,0.002756349,0.002678035,0.006868721,0.001586658,0.006108675,0,0.00465454,0.013946223,0.009190176,0.000782678,0.0026411,0.002012722,0.005592511,0,0,0.010652517,0.012198078,0.000442514,0.002239248,0.021536293,0.003234097,0.002392235,0.000366565,0.009362376,0.005320259,0.019196618,0.006142113,0.005080913,0.003494969,0.000972627,0.00467561,0.006943754,0.001814529,0.001622664,0.002903361,0.015634568,0.011139933,0.008047716,0.003094169,0.001785565,0.001863397,0.005506379,0.001754726,0.006632569,0.006522073,0.003952716,0.005316407,0.00889571,0.005868946,0.009093493,0.003637553,0.00071285,0.010486176,0.002375261,0.00705071,0.002198416,0.018582849,0.00484125,0.002381583,0.010276456,0.00722167,0.010026855,0.008519869,0.01495639,0.005319134,0.005776083,0.003349446,0.005360175,0.007742179,0.037749271,0.005547323,0.004204483,0.029998262,0.00330063,0.005808551,0.001844872,0.00516269,0.005426349,0.013262727,0.004084751,0.006429914,0.003107421,0.016362942,0.002046507,0.001919947,0.013398716,0.003842856,0.002580565,0.000842709,0.001571263,0.003945141,0.00423846,0.007245895,0.0045794,0.001526604,0.002190288,0.003813701,0.004317509,0.015926085,0.00361784,0.000796657,0.002071167,0.001906839,0.001425399,0.00171804,0.004420415,0.003871593,0.003719831,0.002181529,0.00030442,0.000481716,0.007791885,0.00171432,0.000997606,0.000858287,0.003025014,0.002501855,0.01215725,0.001824155,0.011304569,0.006587391,0,0.004328419,0.00551483,0.006199917,0.002043972,0.003357536,0.012583602,0.000666469,0.009210324,0.003147089,0.00335542,0.003540178,0.003972132,0.006485837,0.006610421,0.003831253,0.017584871,0.005738475,0.006052217,0.003598169,0.011238725,0.005382343
Vegan,S005,0.001576496,0.0004255,0,0.001466265,0.013174654,0.002259561,0.002662122,0.003296787,0.004180421,0.00613203,0.007272418,0.002765798,0.003017943,0.011271388,0.003742309,0.003294088,0.001137976,0.012587847,0.005234418,0.003314476,0.001556278,0.002065147,0.004611592,0.001474148,0.00237804,0.002282322,0,0.002734847,0.003699989,0.004640641,0.009520431,0.005142498,0.002702055,0.001341168,0.002305114,0.007193243,0.001978251,0.006386795,0.001922507,0.001792403,0.002509723,0.003606915,0.004980425,0.00391593,0.001781001,0.004452279,0.007298627,0.004955678,0.002075882,0.003247564,0.009327205,0.004385834,0.013526607,0.006490411,0.004823321,0.009896616,0.000192712,0.007654804,0.005219407,0.009483037,0.002958473,0.002606526,0.004640292,0.006845224,0.007842984,0.001342488,0.00148803,0.006150979,0.002680391,0.021536267,0.001317133,0.004981581,0.002532909,0.004885998,0.001225886,0.001407367,0.001390604,0.002382389,0.001794106,0.001158476,0.003239669,0.00709079,0.002152449,0.001699074,0.007918558,0.001443231,0.000408582,0.003170663,0.002394546,0.003127978,0.00056372,0.00177128,0.004399887,0.004654056,0.000291518,0.000722144,0.004259015,0.001103648,0.002350958,0.003165831,0.006436411,0.000990459,0.001699902,0.006563213,0.021837816,0.022623104,0.003823978,0.004839676,0.011259181,0.005280466,0.026869155,0.014176069,0.008476427,0.030312533,0.006452754,0.004934985,0.015210814,0.016620493,0.017922723,0.007670059,0.021865963,0.0103804,0.001370325,0.012346334,0.025229512,0.004443035,0.006149664,0.001602608,0.002718224,0.005926449,0.008690229,0.007780881,0.004304862,0.010701935,0.004709581,0.013451776,0.002787511,0.007945071,0.003010704,0.00553955,0.000812229,0.005096621,0.0047395,0.002099589,0.008469827,0.002324151,0,0.004328388,0.006462155,0.001422116,0.003927752,0.001298509,0.000603623,0.000395119,0.002978083,0.001550917,0.000114978,0.008441655,0.002871994,0.00165464,0.001337545,0.003382459,0.009076982,0.006186465,0.002107805,0.001381849,0.002297848,0,0.001443821,0.00608463,0.000570048,0.002629845,0.001149606,0.005267165,0.005161975,0.006716925,0.000441678,0.001821262,0.002283734,0.001094541,0.005131273,0.010810943,0.007157708,0.004615786,0.002660367,0,0.003340065,0,0.003016875,0.006814019,0.005444377,0.005460211,0.004243898,0.003717088,0.002800244,8.51E-05,0.007440593,0.00718415,0.000913319,0.002721456
Vegan,S006,0.003966663,0.002288855,0.001778319,0.002176469,0.008455471,0.00866687,0.004427072,0.001938912,0.011180671,0.005181478,0.00894755,0.001321126,0,0.006887316,0.001472445,0.006125513,0.000465794,0.000522771,0.004995392,0.005119256,0.001389834,0.002546283,0.005541641,0,0.002811485,0.000148241,0.003821596,0.003971126,0.000753282,0.004904083,0.00517437,0.001743959,0.001242607,0.002452037,0.000440112,0.007670515,0.001096727,0.010854938,0.00293777,0.001911481,0.001716427,0.001853159,0.003260036,0.003763725,0.002016576,0.005777305,0.002712839,0.007822096,0.001918104,0.002362477,0.002940559,0.004403759,0.008295526,0.003316384,0.004074965,0.003979742,0.000242698,0.004901418,0.005578954,0.00071116,0.011164027,0.00354616,7.92E-05,0.007311865,0.011224157,0.004752141,0.005596869,0.004862989,0.006930866,0.01789981,0.003703167,0.003094894,0,0.003740766,0.005271939,0.000642798,0,0.006013288,0.002770118,0.002117945,0.001610052,1.73E-05,0.013359808,0.003535838,0.004739913,0.010133778,0.007187066,0.004636512,0.001263899,0.001383589,0,0.003579325,0.003650767,0.051611181,0.0044627,0.002824085,0.001656065,0.00171766,0.000873524,0.001810115,0.012106343,0.007487461,0.000566192,0.003674423,0.015268342,0.008184769,0.016412573,0.006783562,0.000546239,0.003643909,0.024173638,0.0116127,0.003537665,0.019927754,0.002308058,0.002690696,0.008415802,0.008217498,0.014134829,0.009346348,0.008783304,0.000550624,0.006481671,0.014057047,0.008617726,0.014754443,0.002795213,0.004183067,0.009690336,0.018809516,0.006272105,0.003460554,0.001885183,0.008643588,0.003898302,0.001721586,0.004145989,0.009294329,0.002584208,0.00279159,0.001252849,0.001028931,0.016311843,0.003447843,0.00190073,0.00826252,0.003630084,0.005710062,0.023517347,0.003006808,0.004520236,0.006633288,0.000867693,0.006902391,0.001434515,0.012887331,0.000969557,0.010540648,0.00465843,0.001436103,0.001076047,0.002232009,0.008726008,0.001523429,0.005559657,0.002246125,0.002464732,0.002203788,0.006047585,0.002423502,0.003964546,0.000630166,0.003208565,0.011817523,0.006049084,0,0.004817124,0.004976784,0.002872701,0.003875035,0.001049996,0.003191651,0.004352557,0.004165491,0.000766524,0.003794889,0.003806924,0.001800141,0.004079201,0.003702507,0.000416606,0.002678276,0.003444658,0.001270058,0,0.002951766,0.00170041,0.004606345,0.000826416,0.003548667
Vegan,S007,0.001823338,0.005255556,0.002962436,0,0.010072644,1.60E-05,0.009104399,0.002190541,0,0.002852825,0.002816075,0.004902468,0.007731582,0.003132993,0.005644327,0.006434354,0,0.008235176,0.004895457,0.006852247,0.001000295,0.005361837,0.00574036,0.00242245,0.015299801,0.003122317,0.003725972,0.00087801,0.007683979,0.005414712,0.006194586,0.013838575,0.010354859,0.00429885,0.004008976,0.008983934,0.009565932,0.032625729,0.009413432,0.002489371,0.006117943,0.009969873,0.005866289,0.009250259,0.00631713,0.004315536,0.011946489,0.013922615,0.007603812,0.004210502,0.002820443,0.001188383,0.008475117,0.007186474,0.002998232,0.015786058,0.002603928,0.003442128,0.003244438,0.012334035,0.005612079,0.004989671,0.008557918,0.002474288,0.013083276,0.00254052,0.0011547,0.005208999,0.004583766,0.014086532,0.004038265,0.002567932,0.005406375,0.003381812,0.004971612,0.001336792,0.001885674,0.006044831,0.002615497,0.000691033,0.006005548,0.001408366,0.003900353,0.002360541,0.002118712,0.003521507,0.003762198,0.004647812,0,0.003217027,0.000555515,0.000948855,0.00369532,0.008771135,0.001879813,0.002643028,0.004638316,0,0.001876509,0.0034114,0.009498128,0.004228352,0.003808743,0,0.011473092,0.00325065,0.000474703,0.001575172,0.000332074,0.002738779,0.001881685,0.001076048,0.002607926,0.014785593,0.004567768,0.014018742,0.002516401,0.003546667,0.002059982,0.005603798,0.005288758,0,0.001765625,0.004382553,0.003173735,0.005555785,0.004702186,0.000834163,0.002756117,0.005270122,0.000920692,0.00168352,0.001024146,0.002455671,0.001355526,0.003556474,0.002171448,0.005963884,0,0.012938763,0.004048719,0.001229705,0.005966611,0.004569602,0.000359996,0.003176906,0.000810345,0.001415293,0.002833638,0.002809574,0.003713935,0.000691374,0.008294576,0.007754138,0.004744222,0.012419212,0.004199938,0.014728257,0.01509526,0.006790377,0.002709405,0.008793965,0.003026533,0.003564252,0.010392085,0.004803336,0.008237269,0.000153165,0.024582084,0.008757103,0.007246608,0.002488195,0.0026722,0.017496435,0.0065997,0.003373916,0.003745292,0,0.002120435,0.004533292,0.003577561,0.007499551,0.003614006,0.006118566,0.004365786,0.001769863,0.005048836,0,0.0050652,0.008502154,0.005142807,0.002343677,0.001407209,0.000497315,0.008049578,0.004478075,0.002263125,0.00114988,0.009390771,0.001386024
Vegan,S008,0.001622212,0.013388621,0.000908826,0.003537868,0.03474982,0.001533362,0.001719011,0.006915747,0.004934514,0.002289755,0.005067111,0.004604375,0.001165498,0.00434132,0.001348026,0.001632525,0.001449479,0.00016273,0.000629311,0.00369088,0.004323531,0.001442614,0.001704539,0,0.002389799,0.008842019,0.010845563,0.000615511,0.0087734,0.000717031,0.008319337,0.006611635,0.00626676,0.007413813,0.003989533,0.011502031,0.003417809,0.005308245,0.010741514,0.044411566,0.012643825,0.005391362,0.001654246,0.012897005,0.003441054,0.004262783,0.007218034,0.0020477,0.011591272,0.019225069,0.001719448,0.003243606,0.001483209,0.000719286,0.002374129,0.00391342,0,0.000592568,0.003243644,0.003619229,0.001731397,0,0.004552092,0.004657685,0.001123583,0.000948489,0.000761248,0.007637072,0.001481369,0.002108178,0.002256527,0.003276965,0.001671737,0.004340937,0.00037015,0.039433658,0.010052633,0.007164453,0.002657661,0.005168562,0.013095039,0.006798093,0.015868313,0.003043078,0.004744273,0.002701814,0.00078876,0.002243748,0.000991858,0.004973809,0.002848027,0.003474186,0,0.01638751,0,0.000166865,0.004456481,0.003674296,0.005455836,0.002032497,0.001762062,0.000969366,0.003045278,0.001484031,0.000609519,0,0.000152556,0.000896518,0.003865876,0,0.000570963,0,0,0,0.000654165,0.00072388,0,0.002934066,0.002789434,0.001022324,0.001217946,0.002176076,0.000888105,0.001228523,0.004508758,0.006949367,0.015690658,0.006918057,0.003984954,0.007196624,0.005533688,8.98E-05,0.003602415,0.008830712,0.001817452,0.008215026,0.002302487,0.004877773,0.001277677,0.006007473,0.003940862,0.000953483,0.005885059,0.001191981,0.012051623,0.005745971,0.000753381,0.002016147,0.003694768,0,0.001860541,0.012407207,0.001126404,0.006900871,0.004690908,0.005233105,0.002680358,0.003479049,0.004141386,0.003739438,0,0.011166957,0.003869295,0.014012822,0.016657976,0.005694713,0.006583247,0.003905737,0.00713609,0.001596321,0.007922074,0.007930934,0.011169014,0.003133247,0.003269035,0.013250254,0.001344941,0.003414605,0.008641646,0.010001086,0.001784056,0.00991684,0.008953545,0.008251394,0.00466127,0.007394328,0.004425775,0,0.006647549,0.005885496,0.022262188,0.005454815,0.000666656,0.003430157,0.00713557,0.001495353,0.004638141,0.001562516,0.013437842,0.004263403
Vegan,S009,0.001670981,0.015599809,0.001788468,0.002278382,0.035449859,0.00062431,0.000502237,0.005891285,0.006623002,0,0.004818454,0.002322343,0,0.00482577,0.001919495,0.002301766,0.000966165,0.000150266,0,0.003076326,0.003150206,0.001350417,0.002247922,0.000462502,0.005062654,0.008195945,0.014115382,0.000340722,0.010816675,0.000362303,0.007629381,0.004404384,0.007028182,0.007689329,0.003440863,0.013222389,0.004610719,0.00418564,0.009315177,0.046332795,0.016016754,0.004347034,0.002306251,0.014536416,0.000708629,0.002743348,0.007694938,0.002364731,0.013066433,0.018392765,0.001232573,0.004188745,0.002384912,0.000785971,0.000799867,0.001112846,0,0.002353936,0.00158295,0.00323957,0.000414357,0.000743414,0.003441472,0.00413256,0.0019017,0,0.002728978,0.008879213,0.000198351,0.004330244,0.000958667,0.003517472,0.001219415,0.003936475,0.000627916,0.042153976,0.008631322,0.008060951,0.00162207,0.007133171,0.014042055,0.00488417,0.015752732,0.005398882,0.001922107,0.001460421,0,0.004459232,0.000480855,0.004976163,0.000770923,0.003993576,0.001593547,0.018518325,0.000933613,0.000759122,0.006939499,0.002840385,0.004021504,0,0.001799964,0.001027059,0.002413615,0.000354028,0.001747289,0.001622622,7.85E-05,0,0.000963343,5.32E-05,0.000643581,0.000556313,0,0,0.00095723,0,0,0.001190417,0.003772032,0.000353049,0.000266642,0.000153646,0.001517673,0.001036015,0.001703008,0.006548693,0.018825607,0.006548869,0.003221429,0.007259053,0.006621554,0.001550556,0.001318159,0.008499621,0.001192629,0.007544896,0.002931569,0.004948532,0.002449286,0.006458454,0.003474127,0.001405795,0.003705344,0.001681655,0.014120125,0.005588577,0.000356695,0.003243433,0.001270242,0.001869762,0.002994863,0.012297082,0.000743964,0.006480339,0.004003563,0.005032473,0.001288207,0.002237161,0.003755874,0.002432591,0.00109895,0.009735801,0.002798936,0.013705168,0.016755021,0.006336178,0.006922984,0.003605647,0.008742835,0.001423342,0.00706664,0.008056033,0.012647015,0.003706141,0.005465978,0.013911314,0.002611166,0,0.009714011,0.012322561,0.001182235,0.011042039,0.007543912,0.009995795,0.005400013,0.008327781,0.004105878,0,0.006531817,0.00550793,0.023907014,0.003683578,0.001187702,0.002839555,0.007416452,0.00457317,0.00467185,0.00137633,0.013172726,0.001788429
Vegan,S010,0.005440968,0.002913252,0.002103792,0.003956307,0.003292608,0.000879714,0.003278845,0.001284773,0.001768039,0.002755334,0.004320378,0.016314515,0.001364616,0.004709989,0,0.00113693,0.002051626,0.003547943,0.001976304,0.002323449,0,8.76E-05,0.001233019,0.001016968,0.000603084,0.001919014,0.001602445,0.000137681,0.004882199,0.001699395,0.008942306,0.005026059,0.004127954,0.006484236,0.0065314,0.039568013,0.009008484,0.007684468,0.005892843,0.001242091,0.003241731,0.003957162,0.005875004,0.005233184,0.0047935,0.01247614,0.00329546,0.011761948,0.009105413,0.012190799,0.000499944,0.007847687,0.005210656,0.002976059,0.004613041,0.00253572,0.002217563,0.006893011,0.007413153,0.005416711,0.001804357,0.000619512,0.005390678,0.003905051,0.09038431,0.002733786,0.000300272,0.012504568,0.004813415,0.008083076,0.002827409,0.002176624,0.010227787,0.010377704,0.00301004,0.005656337,0.006927225,0.012070618,0,0.000457997,0.003029743,0.002391364,0.00701126,0.009135214,0.005656897,0.001095624,0.001988976,0.004951175,0.001952582,0.002436486,0.000975067,0.004728963,0.002004103,0.011570235,0.004064156,0.001777743,0.008793739,0.004092187,0.003372541,0.00455101,0.006084583,0.004243226,0.003777802,0.002570021,0.007885819,0.002714945,0.005840238,0,8.07E-07,0.007123211,0.004872016,0.001190338,0.002394823,0.005227244,0.002343017,0.006743834,0.00179821,0.01043331,0.004851673,0.006505711,0,0.000346398,0.00367416,0.003085213,0.003754034,0.007284242,0.004380154,0.002372388,0.001432378,0.004416803,0.001547644,0.002454084,0.003036314,0.001772741,0.003808232,0.000407621,0.000994959,0.001771453,0.003952246,0.002096031,0.00046267,0.00251731,0,0.002281313,0.003792473,0.005493573,0.001543731,0,0.002604077,0.001342251,0.003491128,0.00810367,0.000333864,0.009527923,0.001853812,0.007180615,0.006235195,0.002215286,0.015981361,0.003749745,0.002675105,0.008982002,0.003602459,0.004890194,0.021633418,0.00324652,0.002261734,0.002112902,0.008377688,0.004318624,0.002736901,0.004431871,0.002113354,0.012545604,0.007288437,0.010513872,0.016561474,0.005687933,0,0.00307969,0.004318254,0.008997967,0.009437148,0.008696522,0.003905749,0.004898097,0.005506338,0.00129825,0.005409077,0.005363376,0.006709737,0.002649871,0.008002417,0.003933968,0.000274263,0.002009785,0.003263188,0.002914609,0.005150574,0.001790742
